p,q,n,synchTime,lockfreeTime
2,2,100,1023,1024
2,2,100,1030,1024
2,2,100,1029,1014
2,2,100,1034,1024
2,2,100,1031,1024
2,2,100,1034,1014
2,2,100,1034,1024
2,2,100,1034,1024
2,2,100,1034,1014
2,2,100,1030,1024
2,4,100,2044,2028
2,4,100,2362,2027
2,4,100,2135,2027
2,4,100,2074,2302
2,4,100,2246,2200
2,4,100,2398,2402
2,4,100,2251,2037
2,4,100,2068,2028
2,4,100,2469,2027
2,4,100,2388,2030
2,8,100,4115,4068
2,8,100,4082,4342
2,8,100,4087,4532
2,8,100,4100,4117
2,8,100,4483,4066
2,8,100,4371,4532
2,8,100,4184,4340
2,8,100,4291,4513
2,8,100,4098,4068
2,8,100,4078,4096
2,16,100,8128,8129
2,16,100,8153,8527
2,16,100,8193,8296
2,16,100,8285,8169
2,16,100,8305,8220
2,16,100,8176,8136
2,16,100,8173,8204
2,16,100,8172,8168
2,16,100,8189,8224
2,16,100,8249,8099
